2026-08-01 15:35:25,309 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-01 15:35:25,310 | INFO | hr_assistant.pipeline | Vector store already exists on disk, reusing it
2026-08-01 15:35:25,310 | INFO | hr_assistant.vector_store | Loading FAISS index from 'data\faiss_index'
2026-08-01 15:35:25,311 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-01 15:35:25,315 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-08-01 15:35:25,315 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-08-01 15:35:25,316 | INFO | faiss.loader | Loading faiss.
2026-08-01 15:35:25,344 | INFO | faiss.loader | Successfully loaded faiss.
2026-08-01 15:35:25,368 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-01 15:35:25,378 | INFO | hr_assistant.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-08-01 15:35:26,588 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-01 15:35:26,595 | INFO | hr_assistant.agent | HR agent ready
2026-08-01 15:35:26,595 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-01 15:35:35,943 | INFO | __main__ | === Streamlit run: new question received ===
2026-08-01 15:35:35,946 | INFO | hr_assistant.pipeline | User question: Hi who are you
2026-08-01 15:35:36,511 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-01 15:35:36,533 | INFO | hr_assistant.pipeline | Final answer: Hello! I’m your friendly HR assistant, here to help you with any questions about company policies, benefits, or anything else HR-related. How can I assist you today?
