2026-08-15 15:55:02,668 | INFO | __main__ | === CLI run started ===
2026-08-15 15:55:02,668 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-15 15:55:02,669 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-08-15 15:55:04,074 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-08-15 15:55:04,076 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-08-15 15:55:04,077 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-08-15 15:55:04,077 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-15 15:55:04,444 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-15 15:55:05,449 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-08-15 15:55:05,847 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-15 15:55:09,601 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-15 15:55:09,606 | INFO | hr_assistant.llm | Initializing LLM via Portkey
2026-08-15 15:55:09,606 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-08-15 15:55:10,493 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-15 15:55:10,502 | INFO | hr_assistant.agent | HR agent ready
2026-08-15 15:55:10,502 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-15 15:55:10,502 | INFO | hr_assistant.pipeline | User question: How many paid annual leave days do I get?
2026-08-15 15:55:10,791 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:12,991 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:13,014 | INFO | hr_assistant.tools | search_hr_policy called with query: paid annual leave days
2026-08-15 15:55:14,461 | INFO | httpx | HTTP Request: POST https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-08-15 15:55:14,876 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-08-15 15:55:15,283 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:15,286 | INFO | hr_assistant.pipeline | Final answer: You’re entitled to **20 days of paid annual leave** each calendar year. Just be sure to submit your request through the HR portal at least five working days in advance!
2026-08-15 15:55:15,515 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:15,517 | INFO | __main__ | === CLI run finished ===
2026-08-15 15:55:15,517 | INFO | hr_assistant.pipeline | User question: What is the notice period during probation?
2026-08-15 15:55:15,730 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:16,210 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:16,217 | INFO | hr_assistant.tools | search_hr_policy called with query: What is the notice period during probation?
2026-08-15 15:55:17,032 | INFO | httpx | HTTP Request: POST https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-08-15 15:55:17,036 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-08-15 15:55:17,468 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:17,471 | INFO | hr_assistant.pipeline | Final answer: The notice period during probation is **15 days**.
2026-08-15 15:55:17,650 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:17,652 | INFO | __main__ | === CLI run finished ===
2026-08-15 15:55:17,652 | INFO | hr_assistant.pipeline | User question: Can I work from home every day?
2026-08-15 15:55:17,905 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:18,118 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:55:18,122 | INFO | hr_assistant.tools | search_hr_policy called with query: Can I work from home every day?
