2026-08-15 15:52:11,462 | INFO | __main__ | === CLI run started ===
2026-08-15 15:52:11,462 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-15 15:52:11,463 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-08-15 15:52:12,903 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-08-15 15:52:12,906 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-08-15 15:52:12,906 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-08-15 15:52:12,906 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-15 15:52:13,337 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-15 15:52:14,353 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-08-15 15:52:14,854 | INFO | httpx | HTTP Request: GET https://60e7be90-150c-44fc-84e4-c9e99c9418c3.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-08-15 15:52:15,346 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-15 15:52:15,351 | INFO | hr_assistant.llm | Initializing LLM via Portkey
2026-08-15 15:52:15,351 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (primary=@hrpolicy, fallback=@backuphrpolicy)
2026-08-15 15:52:16,314 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-15 15:52:16,323 | INFO | hr_assistant.agent | HR agent ready
2026-08-15 15:52:16,323 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-15 15:52:16,323 | INFO | hr_assistant.pipeline | User question: How many paid annual leave days do I get?
2026-08-15 15:52:16,758 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-15 15:52:17,117 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 400 Bad Request"
